,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
3,0.007353218298138564,-1.3350605732133398,-5100.409900849883,6599.892081772685,786.8208705838277,0.05887051195959997,-1.3426280994770554,-0.00010362897556066642
7,0.008218166937753863,-1.3063579373030179,-5099.5796162660645,6599.868708646629,783.6412616260382,0.05812133871065832,-1.3028165715670876,0.0005083280114260643
10,0.007593609411781142,-1.4447305802576798,-5100.310698649616,6599.888612626711,788.6064235950106,0.05901882385000864,-1.390516752241886,-0.00025939892435593835
30,0.007503426245163958,-1.3141369602230923,-5099.947853000812,6599.88489673219,784.3934287761699,0.058117774225901954,-1.3276375665859808,3.322267650406622e-05
37,0.007851126741786946,-1.4397549572382844,-5099.650220608073,6599.879695461331,786.9563293546759,0.058356047180572156,-1.393555839732597,-0.0004122983112861469
48,0.007125621039136209,-1.3624209805624883,-5099.631721118899,6599.894578959858,791.0790689810002,0.059956416395233636,-1.3387257987096126,0.0001510687035196497
55,0.007639399563970167,-1.3754306007671167,-5099.606223339011,6599.883687582294,787.7680314516545,0.05928855841831958,-1.3644357289281728,0.0001646142662701742
63,0.00878686162647918,-1.3140603109519977,-5099.960955250131,6599.848628798452,774.7515695088273,0.05643137748813915,-1.330571532681795,0.0003281685485728347
95,0.007493805371802302,-1.335519584334715,-5100.467043776179,6599.890017753936,791.4065607571775,0.06003828668025001,-1.3369368369620784,-0.00015563768207073258
107,0.008026372482080732,-1.2630906421148753,-5100.222049198273,6599.8742425348555,783.7545468305309,0.058586064392438124,-1.2933787368725842,0.00018615915354308385
120,0.008651837444123114,-1.335052742366509,-5100.204321750928,6599.855011268692,773.2835204274161,0.056360131084970407,-1.3288530761372477,0.0001516854615362329
143,0.008317617607426355,-1.3020449648036228,-5099.654454219569,6599.8597687631545,777.14857580062,0.05727167578598648,-1.3180748979894132,9.727531843570625e-05
150,0.008515531574517763,-1.3705786332419387,-5099.504619156675,6599.86200661232,777.023348380532,0.05699049025912878,-1.3515050265407849,-6.737696068806542e-05
180,0.007774624913077022,-1.2525770909847056,-5099.625240961241,6582.265301967921,786.6572999355952,0.058402222728933605,-1.2902149518116874,0.000660767137203221
235,0.0078810561094123,-1.4763450837451504,-5099.5042826441895,6599.876905809392,785.247463129218,0.058236733696632605,-1.403147887949849,-0.00043086813725033235
241,0.008546298828011872,-1.3802119645851325,-5100.484583107242,6599.858199974781,774.013988359828,0.05619113382851254,-1.3530147409793438,-7.696422248308571e-05
244,0.008451825511858527,-1.3386521697446538,-5099.593393257669,6599.8589120821125,777.0137091701718,0.05722664674893962,-1.35314312707012,-9.35348499785018e-05
253,0.008270055936649971,-1.3144303805431015,-5099.858490085602,6599.8653497224495,778.5229197534304,0.05712697146631987,-1.3163181929205912,0.00027669118241752295
