,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
9,0.013034612104102554,0.3053487719104288,-5099.741630639281,6599.670626691137,724.7901355518019,0.04698526820081199,0.2616040793637733,-0.002053833962260662
36,0.012642425543210174,0.3270153135971462,-5099.650763785254,6599.690441589199,726.5973532378443,0.04753085001770495,0.26771061358102194,-0.001876731453200296
72,0.01301110285804671,0.3783997109922779,-5099.544274386224,6599.67763970701,720.9790452863626,0.04609970031176335,0.2829457752229415,-0.0019834339120039348
124,0.013493234841292908,0.3801191950080359,-5100.197137971809,6599.6478281843065,714.8749425679916,0.04570057169121153,0.34610173961758856,-0.0010677200355371074
166,0.012854392973726725,0.3952598891481171,-5099.817443777884,6599.680804653254,720.03471666765,0.04637902544389617,0.36187912390352645,-0.0010306397329395733
188,0.012817722672283084,0.36827467562089583,-5100.3217038062285,6599.678233015966,720.2936833715382,0.0466025338210686,0.31186335040449786,-0.00157425841319439
197,0.012797199147640617,0.4141342589436799,-5099.627502023293,6599.67688450596,721.3767862690177,0.04680577784554157,0.37486508332043644,-0.0012134239418284268
230,0.013171577298863382,0.33496410247905295,-5100.039681106879,6599.660279133622,717.4729808948478,0.04562465095371599,0.26543975886004345,-0.0020216358252547672
285,0.013395904762145198,0.342720066319107,-5100.344428049808,6599.650672185206,712.8593754043,0.04541555739029322,0.3084992254718417,-0.001515465586255762
365,0.013051150707258364,0.3953753009113671,-5099.6941888893925,6599.663452259229,716.6827644109912,0.045693787032023016,0.3416055104340476,-0.0015737128920019607
380,0.013760183672205504,0.36275906131571395,-5100.403192920857,6599.631078040972,713.1927844445244,0.04547810137620095,0.29275916779825634,-0.002351095054285543
444,0.013555968562495318,0.3304831793108338,-5099.758405414533,6599.63434179545,716.3092020901848,0.04518947595953207,0.23330773293922788,-0.0019470633555417304
499,0.012353907020722492,0.36520801921408497,-5099.760253220484,6599.6987346460255,726.2632547664872,0.0479001555232732,0.3035456701824603,-0.001810124072010367
559,0.013770846085512857,0.4123272569244998,-5099.863667257963,6599.631701251349,711.365903829548,0.04515170373798634,0.3498608263075382,-0.0010674215858275885
560,0.012442708343081836,0.3805816463033506,-5100.499587472657,6599.698351647587,725.8638822855219,0.0475116764133604,0.321682299420938,-0.00145595813664212
576,0.012371599044567078,0.38523344172939517,-5099.847117538437,6599.700809157306,720.2297346740824,0.046464370569504636,0.33169402074878196,-0.001347618460066117
602,0.013126440114304552,0.42423081707567123,-5100.083919968682,6599.666843780364,718.2741836197035,0.04646173408179655,0.36253723768969204,-0.001080552545423772
722,0.014079303900838436,0.37661656484235584,-5100.367910654593,6599.613313158446,711.7335747135913,0.04522175424935078,0.27148258783429297,-0.0025338215626680557
737,0.013629989832607638,0.40964933808552323,-5099.61460775585,6599.650491084597,715.5223238470871,0.045965566420396786,0.35779127975760433,-0.0012375048278012223
754,0.013309055346224867,0.40183325824677296,-5100.085722824503,6599.638681910198,717.1806556902449,0.046124843073763654,0.36412637132287856,-0.0012787473066820621
808,0.012807247539235261,0.3780173472904795,-5099.919616880393,6599.685883814828,720.7964557048772,0.046464248778130664,0.3443402639186467,-0.001109189642297292
822,0.012432309937313287,0.36539400043149134,-5100.397407588319,6599.699439500202,724.5760215112741,0.04716364208097866,0.3310848454880127,-0.0013824305558327288
843,0.014059560900999767,0.3543380660428694,-5100.045681894147,6599.617931408943,712.0785063300021,0.04475784902853225,0.28227665750704484,-0.001858723894196694
899,0.013471143661254657,0.4040112724752567,-5099.953862524737,6599.653509466334,711.6632098196386,0.04537842134351153,0.3862467448077453,-0.0004983721110761928
