,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
32,0.010107201879217133,3.099195284524506,-5100.236647523281,6599.802865141594,756.4614700297317,0.05288108519057832,3.0874034338893193,-0.00037242530533819485
38,0.00998539222972712,-3.1100362275212112,-5100.092808309096,6599.803284473722,758.5641535830869,0.053612616160236215,-3.0799386844353434,0.0005357235542282265
39,0.009840593474638348,3.075138285291905,-5099.89142674728,6599.811726504736,753.9642619701383,0.05256642373985554,3.0683232410633523,-0.0009251470704791103
47,0.009196112979416584,-3.127745571339509,-5099.955556307346,6599.830121823428,765.459437562201,0.05497055792046194,3.1293160186570432,-0.00015385342248212775
58,0.00990532202049052,-3.1162691239826126,-5100.156382030591,6599.809118529118,757.4479451145041,0.05321967638745769,-3.116260193427789,0.00047558629017987325
66,0.009921329021595081,-3.0905088585966425,-5099.942916006531,6599.8070756342695,756.2430516468385,0.052690480084358685,-3.0692624550149916,0.0004834946405247389
67,0.009512619326071317,-3.1263109221814904,-5100.467404669441,6599.822965949284,759.0078457917922,0.05349846471352546,-3.13197501311035,0.00032768882710043737
69,0.009668038683882883,3.0891943381450826,-5100.293106658909,6599.815745045962,758.6117100901353,0.05338151697575117,3.084176280106611,-0.00034081315583664006
87,0.009337037452823792,3.0549681148437737,-5099.990901393815,6599.826235247224,764.2439696874869,0.05459550219868717,3.0636979620171703,-0.0008721129683831476
91,0.009766668389713903,3.037044265872764,-5100.458446492388,6599.815332930794,756.9222586990375,0.05291977395181272,3.070674225461496,-0.0007302548048707602
93,0.009818070505997025,-3.0823435887615043,-5100.0509251411995,6599.812022036779,756.6658168162896,0.053440872988744066,-3.1140788241368917,0.00018529038861029922
96,0.010160133889194558,-3.1334011421016505,-5099.881858331526,6599.801005076018,751.1586055304394,0.05200000847392551,-3.116293394089497,0.0002484795269627527
129,0.010298950264735245,-3.1230807899251554,-5100.2829430272195,6599.793572207574,751.2165126623757,0.05184652950947298,-3.1202163157110716,0.0002945671180011308
185,0.009329510391126793,3.073908898141482,-5100.284393715556,6599.830932648048,765.6510757252946,0.05481208392625853,3.0702620753743224,-0.0010356028441742204
223,0.009942004791231886,3.0998098333559923,-5099.934165774388,6599.814993962501,760.1124048634352,0.05371417821269907,3.103898885126438,-0.0003855354614934181
232,0.008304570277029704,3.077643589094393,-5100.313057364384,6599.863684459082,759.2568614111769,0.053417189392766254,3.0548664395060485,-0.0008534407493385879
260,0.010266318192129763,-3.1366813207662636,-5099.938475017789,6599.801564064115,749.4511592973419,0.05186508757022597,3.1359279979471855,-3.137317144910352e-05
303,0.009258270214152996,3.1382052856104474,-5100.094750325024,6599.836497473229,766.1116986720325,0.05494557251207104,-3.0978630353992442,0.0007137288374249633
315,0.009436035812261939,-3.0771609895423078,-5100.38189630457,6599.826509685987,765.1187605035533,0.05453608589091359,-3.0681885837832086,0.0004391841618392912
333,0.008985962901427997,-3.0900678401611184,-5099.698777870551,6599.786742135935,768.3059958929639,0.0555179547538379,-3.1010244037943284,0.0005642641521645765
341,0.009545706851782824,-3.1241490081809813,-5100.34187584682,6599.820828134079,755.6069618753779,0.052772667465810566,-3.126061148755815,2.0648620814823854e-05
343,0.009509546432807455,3.0237314659000343,-5100.067137307413,6598.806830560672,764.1169974552389,0.053895554147479076,3.0693737072622267,-0.00038048702441132495
355,0.009069189008244959,3.119951260134097,-5100.019525633687,6599.8394403284055,765.6895551189069,0.054551450986139,3.110604380162215,-0.00034609037147149675
382,0.010177860764966996,3.124706637123614,-5099.639477169076,6599.7966381375345,762.0673668283373,0.05414132374382324,3.0579921735665296,-0.001043968904157922
430,0.009058233107619268,-3.101880207454878,-5100.004787682588,6599.841888941761,766.93362809598,0.05488651679710868,-3.109972476167886,0.00019646593340904743
440,0.009932442666768132,-3.1261973684592768,-5099.63136446485,6599.805909765482,754.3402882013678,0.05241895900179005,3.1204883790033713,-0.0002218098368435883
452,0.009143599375290884,3.1305110346314793,-5100.067126021618,6599.837133404068,768.698756464662,0.05518139077579868,3.0868875507932576,-0.0005306887085453933
500,0.010044619946669331,-3.063191306503525,-5099.681794846794,6599.806391414372,756.4145196988889,0.052848027109700546,-3.0657677822921507,0.0008679950344962253
506,0.010205187798899546,-3.131874824443929,-5099.617302699193,6599.791401732071,751.5929642388646,0.052163299641115754,-3.134042093671219,0.00011808106542495432
508,0.009134378583281689,3.084289978039494,-5100.195343808228,6599.841257528918,766.5137454882127,0.0549087193033364,3.082507678887144,-0.0005676626093130373
520,0.00891952784490382,3.125965005296059,-5099.871535754521,6599.845808080645,769.2066686716189,0.055862910197842966,3.121833015377485,-0.0002874319619380409
527,0.010139391570620482,-3.08402997657268,-5100.288868832815,6599.799297636005,751.9283809615683,0.052209237630219923,-3.0896743597245484,0.00023067885080238975
605,0.009239665234350353,-3.1205815538189983,-5100.412669741704,6599.834094320065,767.2688484566506,0.055183312713418184,-3.127946455591385,2.7053390608225743e-05
619,0.009185161452021258,-3.123177036235647,-5099.730165794782,6599.830879691326,762.0901375841842,0.054125754206943405,-3.1415372681977263,-0.00015009578373151325
628,0.01020622082990771,3.1307669687597,-5100.327500813076,6599.794067264475,750.7959953663562,0.05214328411993879,3.1358507921080543,-3.647524356890026e-05
655,0.00968103845082853,3.1277020611392246,-5099.511527874916,6599.818741763408,762.3537424056734,0.05383101592335429,-3.132335483849318,-3.0311995381909256e-06
661,0.009569224034680846,-3.137769739798824,-5099.5360283029595,6599.7604590716655,751.7600327533082,0.05223252112040886,-3.118452262543433,0.0004380580931580453
677,0.009157389898256263,-3.1323538563975553,-5100.090622290319,6599.838587758525,764.8435352057454,0.05469619173906225,3.1388130300918906,0.00027325917598473436
688,0.009300039138336777,-3.0788725016936414,-5099.692311040553,6599.826511427111,763.540628343509,0.05451795879122685,-3.0773768581859122,0.0004446468477813917
701,0.009579454097529272,3.126530983509712,-5100.162392309022,6599.821644955047,760.6768733865048,0.05364421061171629,-3.136386536620032,0.00010142168456856316
713,0.010100565435858992,-3.1101625886381905,-5099.91615396737,6599.80324274684,754.1733459422425,0.05302905833754221,-3.080895211314506,0.000629145293559703
761,0.009907348450748506,-3.0857035043843055,-5100.128534992247,6599.809192637232,756.404589561519,0.05343310861052154,-3.085742904343165,0.0007425571891116334
784,0.009586078447556722,-3.1300669804730457,-5100.47549047239,6599.821081083731,755.0048112950317,0.05288117481986558,-3.1356901892426428,0.0005182320564186366
802,0.010232988657360081,3.1327273497270074,-5099.705225725522,6599.76812011742,751.0505468102247,0.05221065009386332,-3.1377045739703706,0.0002670501592311905
824,0.009433888987847213,-3.1087989746888303,-5100.348753990762,6599.8245872646485,757.7115673560894,0.053161836026266486,-3.1013305131969164,0.0003836981737145084
826,0.00971630273796255,3.098933546213671,-5100.3581417142905,6599.813535692213,756.8174878786904,0.05297204198623663,3.1126410049769198,4.520691733848856e-05
857,0.008949083205591303,-3.1194886273928253,-5100.045999000613,6599.838771138365,766.9619879302548,0.054983980446971684,-3.1093457717078787,0.00010887387588589924
872,0.009435226315247498,3.1377056384031765,-5099.503044046846,6599.8318941816815,763.3599631175973,0.05435463571314091,3.1345220407108934,-0.0001991057009354213
932,0.009434492191779727,-3.0882585781733343,-5100.428119091995,6599.82542895015,762.9533086664082,0.05422198300563687,-3.0757115907085386,0.0007226675663431431
942,0.009571155536605192,-3.0535794865620063,-5099.556089807495,6599.819769228599,760.7466180692306,0.05389464014859689,-3.0707871323355636,0.0002490732267096963
958,0.00941380978520024,3.0969216203794723,-5099.806456345649,6599.828579824047,763.2088666794269,0.05416128492595937,3.088537925975534,-0.0005983145609209449
974,0.009812293534051837,3.117837861627623,-5100.220855436899,6599.808188718831,758.4972135873253,0.05345175764559832,3.1153297125406647,-8.58258171353216e-06
998,0.01033408426202538,-3.100721857348287,-5099.772353922709,6599.7924562212875,749.4751222339873,0.05152346364195641,-3.1360936436145463,-0.0008850461502157498
1017,0.009906266154775484,-3.128623999746822,-5100.23440859869,6599.807521456495,751.5380347979121,0.05217901196220654,-3.1042845042811953,0.0004278743233952245
1177,0.009732253147011038,-3.0771379593086823,-5099.681935673066,6599.813921972003,758.1848341900709,0.053346321633237284,-3.07732042362055,0.00038345485752388646
1217,0.009595805006708213,-3.1261581951399258,-5099.921716232041,6599.821314546864,759.5097163447189,0.05367675658583247,-3.126065045049876,-0.00021148047866621328
1268,0.009356193362719594,-3.1134438062301126,-5100.226708059457,6599.826827527001,760.6856199433839,0.05391555251144723,-3.116772081033638,0.0006045984057395565
1281,0.009382544252693638,-3.0975919828762466,-5100.0304637157315,6599.830428605359,760.7709536311905,0.053749187943998224,-3.101584416616235,0.000154756660290625
1335,0.009028865201825987,-3.061068861690853,-5100.364848484409,6599.839015812548,763.0914652039038,0.054048177414480376,-3.081111866754346,0.0005140053644543081
1341,0.01026899497640886,-3.058447686715011,-5100.03559771168,6599.798877566112,757.9332424643148,0.05327148139202241,-3.071742401447043,0.0006013178808080286
1432,0.009750496722290456,3.1040306899015175,-5099.54118867129,6599.806739765371,754.8259810810102,0.052666640508050866,3.1142977819410853,-0.00045283765353543095
1444,0.009719340841528147,-3.1041389560494554,-5100.202714265346,6599.816359506936,758.2883888355184,0.053386907167977046,-3.12982032087536,0.00013044043444301268
1465,0.009818456157229713,-3.06142258542005,-5099.815801297747,6599.81496166358,759.224805292072,0.0534327130865594,-3.0939097710589865,0.0004987685977171053
1516,0.010115488900164426,-3.084062288576612,-5099.834423342663,6599.807306838918,755.5441520990661,0.05358867381184658,-3.0978573519001524,0.0009862905053169542
1518,0.008646240344345258,3.099550913603524,-5099.990570451473,6599.854626493751,764.6403292392857,0.05461734771649344,3.1124218808920987,1.3257196926478644e-05
1539,0.01038340438020989,-3.0837333683151047,-5100.100721549065,6599.791626186003,752.3479311591476,0.05229938159130478,-3.081854341803219,0.0006185453131632434
1558,0.010252732433618105,3.128582756385787,-5099.927286256456,6599.795598486859,751.7898275769023,0.052340707380472834,3.1269837064788444,-9.116673333099534e-05
1564,0.009783807666770174,-3.1075889631886082,-5100.085788197138,6599.811610474038,757.2532954992084,0.053085243296934606,-3.1359921717095003,9.09311111764821e-05
1573,0.01005890895227712,-3.1274917886801252,-5100.381543923618,6599.803747298259,752.3991278957741,0.05257336759386041,-3.1217265147063196,0.0002455778203645588
1576,0.009629012561079677,-3.045063840530071,-5100.2010985468805,6599.818258051955,763.0791538836778,0.05443811036750238,-3.0613954367419653,0.0006929605750428852
1580,0.009058792011903329,-3.111876852510412,-5100.0320154410365,6599.841451746718,768.2035795420489,0.05529789815793308,3.1310050531689138,0.0005754560308579602
1592,0.010206949776330732,3.123881210774816,-5100.322154879882,6599.796930789385,751.898367898264,0.05256236993781765,-3.129413290547423,6.185161351170214e-05
1599,0.009498605078137826,-3.0937651906469457,-5100.3228304199265,6599.82251493941,763.0921696687129,0.05419714331117983,-3.073544468607147,0.0009449326428474899
1602,0.01008236110006154,3.093803727782711,-5100.047275431464,6599.800701682508,757.2890301148204,0.05324156070834396,3.069168357359698,-0.0006985526357329396
1620,0.010018349503477597,-3.074924123588035,-5100.125078652523,6597.133540646585,753.8354654715297,0.0523664961466187,-3.102190400601018,0.00048459929215223903
1624,0.009335481371915894,3.078706854729891,-5099.587503160908,6599.826472520831,763.6129932386507,0.05432023703222486,3.086961437749979,-0.001386486114417058
1626,0.009182955322329739,-3.071754684785871,-5099.693772149359,6599.838511501879,767.5297493386114,0.05505031192433666,-3.085306809269576,0.0009404140317646276
1627,0.00940976590235594,-3.0754636037948044,-5100.496667846534,6599.82749931981,761.6107006797895,0.054207590803946555,-3.0816004492438016,0.000267250382320517
1628,0.009798031313438855,-3.0692520831439705,-5100.399139071861,6599.812692168183,761.045781559443,0.053769449283099374,-3.0514895891038085,0.0006843849946910989
1658,0.009178112539410177,-3.0961701145358274,-5099.568961544872,6599.838613030569,767.1952050408281,0.05572808416154793,-3.1132338960727823,0.0008010086176580732
1681,0.009857633148817008,3.069834719313726,-5100.068342989339,6599.811626634072,758.3347620412072,0.05379480323733397,3.055884583495736,-0.001513063640099501
1703,0.009036827603301665,3.0886900151607177,-5100.177567924125,6599.842922415916,766.6567123015782,0.054509740870017476,3.082213359301087,-0.00023541184301957053
1708,0.010083764753682169,3.113268929445348,-5100.488815030219,6599.8015228312415,755.0958216506068,0.05272394001310053,3.109055978929437,-0.0008966500239362982
1793,0.009560069022424764,-3.125886792870034,-5100.035264914868,6599.818025307343,755.1356203548571,0.05293999099174427,-3.11901110774999,0.00030699127519457167
1862,0.009382878783826097,3.108303590959404,-5100.236874111589,6599.829074611943,762.5935414804129,0.054174724738433384,3.1089920563230153,-0.0004959000490941703
1869,0.009647600547824655,3.1067168657863196,-5099.672789708759,6599.817359831018,757.6756617031282,0.0530131415600215,3.1068120344412935,-0.00016945268028919377
1881,0.009718457162565293,-3.069494871814978,-5100.087680319558,6599.812083756911,757.6812828734664,0.053398655496000175,-3.077219444216202,0.0007694798650980093
1892,0.009649540228255107,3.0574538149162733,-5099.5160369913265,6599.812704536843,757.0554271440159,0.05313738772199743,3.080077056316082,-0.0002450203953208966
1905,0.009749708101491566,3.0905519811309468,-5100.3213227595215,6599.812200857246,758.3690569407868,0.05354999277450321,3.081339752257508,-0.00035107595768922676
1916,0.010236218601155478,3.1234829166269495,-5100.125008432218,6599.797201590554,755.483380293229,0.05297079163235855,3.09988753103165,-0.0003790790674529033
1947,0.010538177346405025,3.1322991338931003,-5100.397018179455,6599.783716058744,751.1025328986905,0.05230864031315853,-3.122645096161756,0.00014901287333843178
1949,0.008742807957728175,-3.097348911514065,-5099.562466097119,6599.844922719383,767.233404077604,0.05508405700508883,-3.08455017567551,0.00034796214199536815
1962,0.01009221694257504,3.078799730250538,-5099.598291151451,6599.800902989041,755.8781773345206,0.0529932007415287,3.0732826242073177,-0.0003215450545534391
1968,0.009473486305418348,-3.0608401023567655,-5099.9889077800135,6599.822495845043,756.7047967041055,0.052734152438834385,-3.098875137330863,0.00041577779590079816
2005,0.009518353157747192,3.09577499880221,-5100.095268863918,6599.827984610017,764.6813467317007,0.05476435010247869,3.1174244155957647,-4.9319979312011476e-05
2010,0.009766381781827219,3.1021301520580202,-5099.557310622865,6599.809560739264,757.229157828748,0.053291170040048935,-3.1079602345322836,-3.5251922997115283e-06
2011,0.010035904872471748,-3.106489758189511,-5100.469633756878,6599.80459524689,753.9477826002015,0.052645771948012995,-3.111568134789068,0.0003165460744919775
2015,0.009556260120308066,-3.0831807113115404,-5100.133766362503,6599.822637061803,763.2612687816589,0.0545221020635864,-3.067661914983493,0.0006744235024911794
2134,0.009477534933444,3.1154053509722863,-5099.732984619511,6599.827232671015,764.7451384281833,0.05428093504644317,3.132996139823355,-0.0003573144427255226
2162,0.009013764660072001,-3.1336080735270566,-5100.3629456439285,6599.840071378908,765.1216656555978,0.05478581306432135,3.1315001629335852,-0.000152171011902565
