,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
4,0.006994321224353972,-0.3292548254237455,-5099.645014515711,6599.910133185439,798.8842376114824,0.0614209364713443,-0.4210466787834756,-0.0006879509834655519
62,0.006945359179391605,-0.3465663214507342,-5100.159148663302,6599.90495676042,794.5693324089589,0.060416732347008284,-0.40683204261750033,0.00016207283827587098
81,0.006538900120552716,-0.3314364819817087,-5099.581236509456,6599.914302590488,800.406683814543,0.06214497875183156,-0.4166209253915321,0.00023269019913596385
94,0.006663366311153852,-0.4991241847478428,-5100.348498489923,6599.912992298289,800.711203500334,0.062271245907280885,-0.4602275794839762,0.00025634779384941636
99,0.0075873006373837525,-0.4434208673766917,-5100.2144412931475,6599.888702996791,787.2729389530436,0.059118185655743685,-0.45614820212897444,0.0009103975772153777
117,0.007039514653390484,-0.5427123749894376,-5100.481504078314,6599.90350826208,796.1437395850616,0.06085723114249976,-0.47529059166477416,-8.46996558226894e-05
126,0.007515878803023277,-0.47887219590989233,-5100.403005605974,6599.89048570815,790.6522758386185,0.059951332014690537,-0.4826387234240324,-0.000964916420529836
152,0.0064433273838849815,-0.3344824987526473,-5100.354932387354,6599.919479324999,800.9740141802251,0.062368445684472015,-0.42597139547000024,0.00021813847523429846
154,0.007197399809388949,-0.5015996408836128,-5099.928974819978,6599.899440505973,795.4526573340364,0.06201852686576499,-0.4534486974920654,-0.0009991288202432116
224,0.007391358089001784,-0.5355186997405793,-5099.804477782622,6599.891154355695,790.9745480609516,0.06022208382487761,-0.49053104754563404,-0.00026689476469213724
243,0.0071965731073948625,-0.5766540744775548,-5100.4346390755745,6599.8987423160925,795.2274906675439,0.06075009996774192,-0.4709654550376595,-5.708144246795579e-05
250,0.007539329586261828,-0.44435395248689696,-5099.652012937574,6599.893918980804,793.008139212645,0.05997561902596863,-0.4321546444097306,-3.1920196754670004e-05
258,0.007720680686171698,-0.43857241646830103,-5099.998755512049,6599.883109885009,788.1445565577873,0.05896854745384797,-0.4306871230308471,-0.0001690087066583709
261,0.006660020444354346,-0.5456852565008294,-5099.957592507526,6599.914710281369,799.422626521747,0.06184281978312192,-0.4739788800292886,-0.00013311486614465598
267,0.007023052228640055,-0.47038970618407244,-5100.009550119802,6599.901935207909,795.6018211738382,0.06084357957805835,-0.45497014483837234,0.00014957104978578396
268,0.0067210388552879224,-0.35123537990954457,-5100.1496785583,6599.911805873639,800.132178742148,0.06215892919487149,-0.4202056461262172,-1.3995503415256852e-05
296,0.006829155064573565,-0.35231138838390397,-5100.066438790607,6599.909086963633,800.083977482952,0.06175365783753119,-0.4188051135546404,0.0003663694961864191
309,0.007329929038412594,-0.3933656055679451,-5099.667729192169,6599.899418889338,793.2409624562025,0.06006632967257222,-0.4061303729368534,0.0005171446919665318
357,0.007350190948991157,-0.3735396710895415,-5100.364331394827,6599.895494013956,794.3464812428449,0.06076965197441154,-0.4236932709447884,-0.0005226963829103008
