,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
13,0.012512957245065431,-1.4568806326220483,-5099.753642200052,6599.686410293217,728.7115622107505,0.04782763868194138,-1.5475747165522322,-0.0020305502191666886
24,0.013013190416384619,-1.4626132329946977,-5099.600635512279,6599.663976835058,720.8193682361298,0.04592505927791083,-1.5607056796409546,-0.003118062312096224
43,0.012913360671816112,-1.4186901038418698,-5099.665599223738,6599.620475972904,717.4879183829506,0.0460188105589609,-1.4815357006534131,-0.0017526785135050446
75,0.012871887276088137,-1.4089244514161394,-5099.53124967737,6599.67385343576,718.9675059037413,0.04639253530086138,-1.4981729913500277,-0.0019088682612100009
113,0.013913490859958718,-1.4237741169080247,-5100.365681707958,6599.622178600283,710.5038735802287,0.04531591745218204,-1.4529693760098674,-0.0017334208006818809
147,0.01307850899135322,-1.396673882187816,-5100.494448401428,6599.667406035384,717.746799294844,0.04616901973633853,-1.4474010428207582,-0.001084472512868629
164,0.013673236923995049,-1.4338883081856102,-5099.505650872533,6599.6370719972,712.0133248829083,0.045435353172552956,-1.4791803050587422,-0.0016638925785212024
196,0.013213997393793179,-1.4255510780560752,-5099.777671614432,6599.662577737918,717.4131078439146,0.04619845536651779,-1.4803725488035309,-0.0016357156386434663
202,0.012825966542350095,-1.4502557948757036,-5100.402303934506,6599.681778838866,726.1385542472816,0.047500100105212446,-1.529779079833083,-0.002254785614463799
240,0.012678301333646311,-1.3870028819462012,-5100.119693743781,6599.684736705216,723.2199663492178,0.04675538377466598,-1.431177431714718,-0.0008476499377371219
248,0.012898346478043266,-1.4342623987542276,-5099.662384900363,6599.677733591546,719.3524875623028,0.0464738533447814,-1.4654997770682874,-0.001362250148193846
280,0.012647415233935418,-1.4417394172067755,-5099.922456339511,6599.689534089632,726.6500753895469,0.04754159399384862,-1.5021892235529308,-0.0014634495868125603
292,0.01354944563173662,-1.4251917401277368,-5099.758582234717,6599.641819009285,713.5888240946717,0.045648734663213765,-1.493841343522134,-0.0015379101992580237
295,0.01319672437890817,-1.4291110286618451,-5100.191761421606,6599.665464388684,717.4645402373692,0.04621836051180991,-1.4774750986069585,-0.0020712507770319906
360,0.012725655093603475,-1.4077159579351108,-5100.184885205424,6599.686394363132,722.5594437556143,0.04703637092007946,-1.416132112807543,-0.0007520620336327385
404,0.013332808589064004,-1.421845195920964,-5099.575782231538,6599.652826508319,714.3466763805775,0.04548987716704243,-1.4640223097357337,-0.0011906287396275632
435,0.01319249243890621,-1.402770074782209,-5100.309637570247,6599.659620627068,717.5543852056317,0.046856509794744726,-1.4706890926655103,-0.0016729915784029447
458,0.013485876507787237,-1.4449121483321776,-5100.393040307031,6599.642478226464,714.2052230491737,0.045162972828369514,-1.5426329323416206,-0.0027093677523077316
474,0.013182373152046968,-1.3984552788081084,-5099.662161379741,6599.66187181405,715.1288602224917,0.04602667024041214,-1.4306333310811248,-0.0008289771418382685
476,0.012565337159456404,-1.426871440998688,-5100.154692604714,6599.6965700595065,726.4158102693584,0.04809086031880627,-1.4957024507800674,-0.0017706313168902234
524,0.013645142748263266,-1.4288775393414561,-5100.270488487309,6599.634924214383,712.6915734358813,0.04547295558019275,-1.4892635752118657,-0.0015015826694481785
540,0.01373889641062698,-1.4550960131081005,-5100.2639990734915,6599.628082948356,714.0766617427643,0.04521541009125012,-1.517592179124308,-0.0020811584111050272
587,0.013294386043970352,-1.4582770840144113,-5099.70346228653,6599.653860499646,716.1877373483376,0.04558525139972826,-1.5113598394458283,-0.0020031598602216075
611,0.013775826577413594,-1.4785977791967575,-5100.167839130972,6599.629984323669,714.4698694065418,0.045117181778530496,-1.5654501549625561,-0.002391136617036902
627,0.01264240203228433,-1.4353525964450364,-5100.324480130345,6599.684488951372,725.2046739502068,0.04753528140914189,-1.5136244832395649,-0.0022413258149440855
731,0.013592854874167974,-1.4288667393721985,-5100.402892039642,6599.639190613046,711.0799838085243,0.04492891111793615,-1.4974206884480705,-0.001538954473037773
747,0.01316097106656469,-1.3721580160243336,-5099.624975751142,6599.665301103945,715.81356405361,0.045971429274883624,-1.40359921609922,-0.0007460841992535298
771,0.01309761660625294,-1.4294504327913542,-5100.343627296914,6599.668939991443,715.8321293158726,0.04534455051228588,-1.5424906587562977,-0.0022774830172973405
778,0.01314177219995182,-1.4237777226052781,-5100.303391673488,6599.663520111687,715.8562709267795,0.045548438013238345,-1.4819510459538379,-0.0018350921264743611
779,0.013491913793551932,-1.4294422217364589,-5099.948848381858,6599.648297941075,714.9582735722445,0.04570541554277646,-1.483352687491533,-0.001407620290676
798,0.013093120857552187,-1.41726501754184,-5099.633817533857,6599.659732683255,716.8626522387463,0.04570092758347238,-1.4885776746151915,-0.0019163541669254718
809,0.013440020983954923,-1.3834819588267675,-5100.021805620453,6599.648238609544,711.8300323103417,0.04517410122006322,-1.4090363945226223,-0.0007879937465436977
839,0.013137855570507765,-1.4528354533697376,-5100.477762915245,6599.664455591294,723.094576640033,0.04695745252755007,-1.5138196244945383,-0.0015735852441409158
856,0.012900999482126701,-1.393986548928096,-5100.281343435707,6599.676632191879,715.9908560703421,0.04562799030741417,-1.4000081722360787,-0.0007096099430582238
906,0.013207011115397864,-1.4084211332760288,-5099.6371158168595,6599.65970743669,713.9342689288719,0.045436986406507805,-1.4141036761919994,-0.0007468453946846948
950,0.013796047811009505,-1.4228779066694388,-5100.3043554588,6599.627779631152,711.0445313483806,0.04576167281235044,-1.4388703281240305,-0.0010467063448970615
1019,0.013355039677392343,-1.4562917629935686,-5100.213097677806,6599.6544129652,719.8177950457138,0.047283466542253294,-1.5525792499943396,-0.005135426812999422
1025,0.01334500311006896,-1.4109654123558664,-5099.922380857279,6599.651348630111,715.7396262380163,0.04564153158206579,-1.4808424869969845,-0.0015273780632422541
1028,0.013584376898252362,-1.4590167932458387,-5100.4065561499565,6599.640768605795,713.752397753119,0.04580281592332871,-1.5233637974739023,-0.0019011884631805075
1044,0.01399641624954669,-1.4640790223801856,-5099.5667143677765,6599.627969966226,719.4583772576594,0.04572133556986516,-1.5286746187290314,-0.0015451927345323062
1118,0.012987712968578891,-1.4556319952432597,-5099.755374612451,6599.67509985812,724.8173880066308,0.047305167948720764,-1.5493261119199477,-0.0023267863899420916
1131,0.012679512824991194,-1.4832458712689613,-5099.920780733166,6599.687813564953,726.9163536131352,0.04710480467769431,-1.5668216193565334,-0.0019965665448867234
1148,0.012696000305040362,-1.4530504518797467,-5099.533852599325,6599.694702503366,723.9213617586357,0.047120397927918056,-1.521586588396687,-0.0022461881092025785
1160,0.013439500972838782,-1.4024090228394444,-5099.877251925702,6599.649764281601,714.1373853593918,0.045525610125238446,-1.4325114000227082,-0.000828971733856427
1190,0.012933594572343467,-1.4529622626403471,-5100.256220100288,6599.677369201616,722.5840298279155,0.046572323283297,-1.5291242196715367,-0.0021121385013065366
1192,0.013360913052172796,-1.446460467728279,-5099.5416543132105,6599.654452740083,719.8392384981486,0.0464911325875643,-1.548983940558929,-0.0020079700312713267
1198,0.012744113546100083,-1.4098605372955635,-5100.219867522035,6599.680292002208,721.3530423875333,0.04699698148829012,-1.4112488046762337,-0.0008160303919559736
1227,0.013387434185794892,-1.3942023829024623,-5099.69668265302,6599.652262053669,714.0276063187039,0.045044044640206296,-1.4327085304708482,-0.0010731253485305808
1229,0.012398673543927935,-1.429770094826257,-5099.787273279345,6599.689845567712,725.7039640816422,0.04803603274499657,-1.4882281708092402,-0.002277988961334351
1263,0.012907977350345377,-1.4084906939723054,-5099.5704651883725,6599.667661599806,715.7222101787213,0.04599112811372636,-1.4105703681696382,-0.001062400904687585
1276,0.013001040858468755,-1.3986439710217997,-5099.627104104396,6599.263955833104,720.2704427372778,0.04694356040295552,-1.4315378694331529,-0.0012310972141690653
1282,0.012567075057554514,-1.4406907416549635,-5099.810388925044,6586.235065181284,725.8875241474507,0.04713117441354291,-1.481971857196798,-0.0018010473332926897
1297,0.013874948469658177,-1.4259630891746609,-5100.003500412153,6599.628610385569,709.9884931964554,0.04492733841661353,-1.4813393613874462,-0.0015840371041031724
1308,0.01269648420441988,-1.394923999378641,-5100.239302250755,6599.686394875764,718.2314863470447,0.04631912767037982,-1.407782390607604,-0.0007316844490418926
1323,0.013896424510613164,-1.4522500543516725,-5099.936328620494,6599.626241536763,713.8891959361274,0.04565089726373015,-1.5528465324646499,-0.00214133374192605
1340,0.013644361971692323,-1.4402261614333407,-5099.873715548001,6599.644685678075,713.2420266126658,0.04545466914949394,-1.514281295617629,-0.0019887109449806366
1347,0.013202311329112353,-1.3864606962245534,-5099.690533549001,6599.672942269455,714.7353644689221,0.04526150125742626,-1.4406942551150175,-0.0011824801401139114
1379,0.012546687112339415,-1.422542561254886,-5100.157009528415,6599.695681148376,725.3331876304436,0.04646084295232041,-1.4946817285453518,-0.0015333998571124715
1457,0.013247119304033984,-1.4446301887312076,-5100.021084884707,6599.660719706992,717.6177023179378,0.04596515655304425,-1.511865075860949,-0.00190205828261613
1460,0.01323591766560598,-1.362965400012996,-5100.447800296356,6599.658279369892,714.6813332053788,0.04578539829711488,-1.3958286542151903,-0.0006266059784656345
1502,0.013396671983906832,-1.4281411019967465,-5099.954947877243,6599.650355156949,716.615805532914,0.04596088424291584,-1.4882441221140765,-0.0015644015300257386
1535,0.013138069937716847,-1.443285951365552,-5099.874242950393,6599.669113438162,721.0860221061446,0.04646689702944132,-1.5105406502231564,-0.0018874986934062498
1585,0.013587295080519354,-1.4506297190005173,-5100.461221902094,6599.639211764144,712.5091898618597,0.0453285273777142,-1.4879953842685067,-0.0018161772116029463
1590,0.013470900917974319,-1.3910272540913537,-5100.343975666448,6599.645526899319,714.9568433085026,0.04588192854900486,-1.4136635095472343,-0.000767355565443193
1603,0.013599479698660143,-1.4361379794586129,-5100.348692648429,6599.640493470231,711.6658981789326,0.045058583982097986,-1.4745103237978632,-0.0014064203829675193
1664,0.013135081327977716,-1.382981809160857,-5100.426994770524,6599.6625591717475,714.8910398271161,0.0455001585114977,-1.4392325917934243,-0.0010882393988264397
1674,0.012645318842118794,-1.3934229817912618,-5099.643429256915,6599.690197606002,722.5978844570898,0.04697697722491213,-1.4287165430204078,-0.000515163849039192
1679,0.013286201020265719,-1.4617224907539206,-5099.700627720749,6599.651041208029,715.6801968096346,0.045613621814129715,-1.5591684172895663,-0.002213392175942491
1727,0.013658970279735443,-1.457033513791907,-5100.114444971111,6599.637537885427,716.3856677402568,0.04561562818666046,-1.55108437166523,-0.002194830513401983
1728,0.0129114703067658,-1.421339006625885,-5099.87369233429,6599.679038125722,723.2510604660365,0.0468613340404845,-1.5248599530293343,-0.001900123651465485
1816,0.012519271833451341,-1.4144713771394974,-5100.055790960219,6599.694440590422,726.7407236600283,0.04777543303710185,-1.4896784504174871,-0.0014335327159218257
1906,0.013486276200620767,-1.4082193477196805,-5099.739728501098,6599.641242798564,712.1426441397504,0.04520238552220516,-1.4324103470790028,-0.0011931136904774233
1919,0.013267119710721016,-1.4082048291578788,-5100.483300014997,6599.657054803987,712.2558479024466,0.04514178918559507,-1.4702886802287098,-0.0013230992592860487
1935,0.013577113023390272,-1.4120286069814874,-5100.183966790408,6546.540607174481,711.0590807209411,0.04476276104643198,-1.458843912170858,-0.0009758434501544115
1961,0.013395764307033613,-1.439635163529326,-5100.0103018271975,6599.65726316738,718.0530927649382,0.045919288354115594,-1.5359152372947105,-0.002209672959981057
1977,0.012441786080980037,-1.4387811312362315,-5100.294974521308,6599.699427086493,726.50936770811,0.04725844121001483,-1.489048822227562,-0.0014485956540213217
1990,0.012647435619944655,-1.4187555772025526,-5099.880926835619,6599.68553720026,722.2078912316086,0.04634680226332815,-1.5038337793631165,-0.0013329396285405642
2018,0.013071028593330933,-1.3666298811288287,-5100.425319537053,6599.66679882453,717.6756650882211,0.046112017694340535,-1.3907168891766895,-0.0005004570227620414
2035,0.012685254246560338,-1.4384263924494431,-5100.387923332943,6599.68867219143,721.8674766946993,0.04663468132337352,-1.4974338128435063,-0.0016629769001024698
2042,0.012987395073218609,-1.423535277054426,-5099.705997257466,6599.671491869653,721.9281996675888,0.046710953559316835,-1.4614901111733747,-0.0007407682589256266
2130,0.013742095641719035,-1.395335955443474,-5099.653472985966,6599.631143795227,711.3898149110236,0.04502452919155542,-1.4694937675478241,-0.001457354363681145
2131,0.013548836679873276,-1.463145906549553,-5099.773621896765,6599.637062403556,715.0164014292553,0.04483625349318233,-1.5651105056723291,-0.0035101727096031677
2153,0.01365416309463359,-1.3879488130904853,-5099.80247612356,6599.638172628826,713.420825217834,0.045734015725403344,-1.4373331840269132,-0.001140396132907549
2193,0.012824628164190806,-1.4453772691429299,-5100.438165943461,6599.679538406747,723.2407467375397,0.04711385489979757,-1.514576522711735,-0.0016038132564341356
2201,0.012654913852818873,-1.4057211272963792,-5099.690633997491,6599.682013024513,719.7581008906403,0.04627415817937683,-1.4666991335786306,-0.0013475578405234493
2202,0.013240825497035535,-1.445372032287085,-5099.725008330946,6599.660415109709,721.1642136570106,0.04664904840106782,-1.5184720143896848,-0.0019630402704053614
2302,0.01283594392396439,-1.468617141980895,-5099.80736889335,6599.682735911759,723.5873188057893,0.04678749735510692,-1.5173124085854939,-0.002231945086014526
2303,0.013090805886575681,-1.4162762700175011,-5100.138338044475,6599.669801616238,716.1112985692414,0.04617596727723983,-1.4342253893448225,-0.0013641500457912878
2352,0.012671641673405442,-1.3802269439687458,-5100.455590998481,6599.68700016587,722.041014406884,0.04683867777442379,-1.4161800678904102,-0.0007505224455325834
2375,0.012629997387339782,-1.3821364562083203,-5100.1789592694495,6599.68100724449,721.974497630507,0.04692079289263376,-1.4158421919133863,-0.0006083416652915489
2394,0.013452354173225892,-1.4369406686309822,-5100.374653260031,6599.647603364859,714.2905224776364,0.04514672476735751,-1.5135465124472076,-0.0019827644540550632
2412,0.012684724155538545,-1.3907225414702777,-5099.787856704566,6599.6796180456995,722.2914889981204,0.04732390275185136,-1.4242808222642398,-0.00031462120927932755
2423,0.013398633378505916,-1.4095958218614106,-5099.586134178607,6599.645958402978,715.6567492632986,0.045389286955753554,-1.4208449822223215,-0.0008585252640485949
2499,0.013311440852080044,-1.4298514633029524,-5100.4354259775155,6599.653791118838,724.1167025838301,0.046282077581974536,-1.514281697398882,-0.0019973110791818532
2523,0.013074378049603949,-1.3880632943370486,-5100.06071366465,6599.671841475406,716.894921160749,0.046271920798294564,-1.393619467846509,-0.0006659139683673678
2544,0.012550344143501079,-1.4662183673263742,-5100.071577124492,6599.695249583592,725.4357258239637,0.04670118751848306,-1.5585400818932067,-0.00294622096659266
2554,0.01273727255598926,-1.4209209982002597,-5099.633565017841,6599.680699736474,720.8847172425714,0.04665875853929449,-1.47160776595756,-0.001401257370768534
2567,0.012527015793843757,-1.4695601331775072,-5100.020191100187,6599.6953914453425,726.978581780914,0.047319411869857775,-1.5465709156960077,-0.0018695089352757828
2571,0.013434387395261198,-1.3928594749546273,-5100.406721577584,6599.650004043243,713.9295502082922,0.04547882935622677,-1.4307362967356263,-0.0012808380648367055
2639,0.012191856214374942,-1.3827033340779153,-5099.566473225263,6599.707523808597,725.677977628377,0.0473718672550474,-1.492576376306222,-0.0014387831651360506
2691,0.012856418176632878,-1.3925546541110032,-5100.3253300773495,6599.675837867186,720.1290339653891,0.0466045676514619,-1.4297996982289094,-0.001088561174746577
2705,0.01209946686338802,-1.399905839417697,-5100.45900817389,6599.714160769127,722.7929025834097,0.0469833496303575,-1.432302919790342,-0.001049608205323653
2724,0.012886422700079758,-1.412348644899336,-5100.106884068294,6599.675456953678,719.8251458193065,0.0465259616745727,-1.4617811129396387,-0.0016357674108768711
2736,0.012830531692859642,-1.3795085923831085,-5099.612346845136,6599.5954845376,718.6124654560023,0.04609999977522764,-1.432397872507418,-0.0011491050037789729
2764,0.012851722629473735,-1.46769898965386,-5100.265971359374,6599.6807023112215,720.3395493449082,0.04597799062057324,-1.5643489604290148,-0.002664510540277831
2766,0.013158118758721846,-1.4412917911251724,-5099.793093297834,6599.664395588637,718.2078751340625,0.04582790684336422,-1.5177943051607394,-0.0018460210884359831
2796,0.013975727282839846,-1.4471990835005832,-5099.6303590146235,6599.628048927117,712.3373591792968,0.04527292456615818,-1.488566482556812,-0.0017118280506080667
2804,0.012917063666276655,-1.3732868424240372,-5099.857738236795,6599.683481548509,720.0182957749292,0.04601874272233655,-1.427964845578981,-0.0008148983165425923
2850,0.012972211991752958,-1.4079612413397122,-5099.895585399027,6599.666791894818,718.6976314289891,0.04636657647289667,-1.4517521917666003,-0.001373126150664242
2868,0.01315110424770323,-1.4603973887400301,-5099.543373833508,6599.659873748326,731.3198815605298,0.04695834902753278,-1.5450880024931726,-0.002583230182937733
2888,0.012904207453385497,-1.3727268564839636,-5100.1307596770475,6599.676276371615,719.840597935807,0.04673880467808871,-1.3997299482389145,-0.0005635655361958349
