,tg_th,tg_ph,tg_vz,tg_p,gem1_r,gem1_rp,gem1_ph,gem1_php
49,0.011758153859354685,1.3813225804265368,-5100.057686932117,6599.704402271021,732.5348014356467,0.04921500406374415,1.3996751335570745,0.00014283558423090208
109,0.011200534519705393,1.4700080123246417,-5099.994919179038,6599.7529737867335,744.0363192088034,0.050830285453816924,1.4925269896178197,0.001624745461817524
144,0.011713824623266407,1.4663397855193627,-5100.1739335300945,6599.730974046885,739.1250371254548,0.04965986111840476,1.5245616884948776,0.0018234115353242442
158,0.011742431019842804,1.4313030561893683,-5099.903927663297,6599.729271919768,732.2114353968844,0.04850402251688006,1.4485406240565994,0.0012737554646094177
175,0.011847674331273282,1.4603558155368421,-5100.472070380083,6599.725781146517,739.9394234968705,0.050063812853535526,1.5583322781080824,0.0009358299524792045
181,0.011335803685165503,1.420762698054114,-5099.876600496022,6599.753431954646,740.7863759100647,0.0500356401417323,1.4591332575680616,0.0013650651286569936
229,0.011212289444837108,1.4516688080627045,-5100.315169039301,6599.756758428988,747.5051214109609,0.05174606501081426,1.4866698194602341,0.0015628960070185516
314,0.012154216104217032,1.4288826256692078,-5100.466743511624,6599.712500957645,730.6492618804898,0.04779347358235129,1.4759472663538804,0.0013218168422313452
376,0.012297118153343105,1.368443742630513,-5099.9887277295375,6599.704191202732,734.806492611338,0.049456707338771486,1.4786184631842223,0.0015628843767895092
385,0.010787224256872435,1.380766503084485,-5100.336839462385,6599.773982904306,741.3600763153974,0.05039808777407353,1.396449450115106,0.0009650625738196457
459,0.011492491943853655,1.4559188595893302,-5099.656340496546,6599.755064426145,744.067963226184,0.05015965503583901,1.5272615042485238,0.0017993982690008153
467,0.011008965026271016,1.4257232711568597,-5100.405847569437,6599.762411616902,744.4963254971983,0.049610357026855886,1.466260885254768,0.0022008731621760763
501,0.011174257906516334,1.4400106798432644,-5100.226465970305,6599.755893943367,749.6073204661824,0.05154790872760617,1.5563771035004748,0.002252853508051155
529,0.011346493851122616,1.5129875689434664,-5100.119100703955,6599.751632971317,747.6615491077492,0.05063828311883337,1.5694938013937338,0.0015745826393752285
595,0.011330657720705888,1.4625731610344899,-5099.893721624212,6599.750525120001,738.7944554002577,0.04934559507426306,1.5110192206079938,0.0019056709170883787
607,0.01145260567325359,1.420837202892855,-5100.241786930488,6599.746344242493,738.4768454495744,0.04980967406282929,1.4424970421797516,0.0011411967466747478
613,0.011562812482014026,1.4584040517646766,-5100.093956245194,6599.735938974744,736.2872115320843,0.04903907533115465,1.52076242482201,0.0021824698125692704
625,0.011080779859819184,1.4422355421467061,-5099.548867486013,6599.757841505901,746.7926448705064,0.050912359310292095,1.4930855375179057,0.001607188731450941
637,0.011172388510793543,1.435559468385201,-5100.0196405884735,6599.759318409921,741.6848626512469,0.05007227938192389,1.4910643875750567,0.0018610123306568457
639,0.011999026109426188,1.5494518945466822,-5100.120231527437,6599.720973107978,751.0352216625022,0.05155449638916386,1.534635992771067,0.0015002144526677678
710,0.011321579817705757,1.4731946985014295,-5100.373205102074,6594.548508538477,745.6483811192943,0.05068715742168716,1.562467824901386,0.0026078679994094114
721,0.010995150219818405,1.4560753830605209,-5100.3104890604,6599.765321732424,748.9367414765744,0.05077879208479385,1.5236698133123276,0.0015569335043409663
813,0.011496822349181804,1.4085100732622786,-5100.065095621377,6599.737730040538,734.336287305131,0.04895299642968227,1.4574765512956451,0.0010708468511310743
836,0.011258238504450542,1.4404760373657741,-5100.215527750361,6599.755058953863,743.359737623194,0.05052042895236273,1.4800039397363793,0.0008668317632945364
859,0.011907073444446485,1.3896181134478784,-5100.396359954027,6599.723262090705,734.5431738856241,0.04953734906224664,1.3914227973025548,0.0005009048756370565
904,0.01185257805141738,1.4264376134084178,-5099.851554589006,6599.723489743767,736.1629129007306,0.0492013669591787,1.4680905161655038,0.0016608530050601362
936,0.01130756083000391,1.4763070153544429,-5100.09328594032,6599.747317720004,743.206438101738,0.050276390946567294,1.5342154579378868,0.0023999411821067885
993,0.011269530830329668,1.5076495241995662,-5100.200622354784,6599.7542373651595,748.4239549466171,0.05040936216837986,1.5627149247864092,0.0021696233153412968
997,0.01099557284121957,1.485933904380228,-5100.311705471693,6599.763450392758,744.5438839665754,0.0503810872856238,1.5449099970338216,0.0022119017291929353
1015,0.01183849935110763,1.4459988739628973,-5099.892019054039,6599.72542571161,730.1791656454682,0.048113317919658026,1.4802519894162962,0.0006836215752111778
1032,0.011194766319966269,1.4534222412111153,-5100.44619516969,6599.755885125343,743.3707960869815,0.05027411657673053,1.4988852809608466,0.001569757421031715
1041,0.011200826351525554,1.4378891575336514,-5100.138354297738,6599.759161947091,741.8734783314,0.05059438599610354,1.4496984657013903,0.0007160113646128491
1047,0.011223007445056716,1.4579551976102547,-5099.750973875087,6599.7527163818695,748.3072095480062,0.051245566275198856,1.5347106725745956,0.002370843518181963
1052,0.01105030214017373,1.4913711059998986,-5099.557606324227,6599.764813767893,749.3274098153624,0.050334499356045274,1.5506052439446023,0.0013160945437463499
1065,0.012090480349307924,1.43369516387385,-5100.008952332066,6599.7165420076535,730.170721656433,0.048135647792953824,1.4758215001540556,0.0013843889494670855
1070,0.011623969190965039,1.4317117683307192,-5100.0908274428375,6599.744037342245,738.4443512767978,0.04947998521105908,1.4580172720506017,0.0012801539006676603
1081,0.011886579137605163,1.4432411589368725,-5099.862686618276,6599.72656899181,732.7074789307138,0.04880314527215714,1.4748294031502818,0.001065066654763096
1084,0.010998328594026212,1.5130602792123469,-5100.453269881303,6599.764634617655,747.3890203486991,0.05068913229744847,1.5418990309982856,0.00224394523102918
1136,0.011318102332093953,1.4296666960192363,-5099.7905613923,6599.747581272657,746.5319655262088,0.051093549867321224,1.4953000675706138,0.0015244058044156618
1188,0.010871850428870095,1.446644965251652,-5100.062603581385,6599.770978188098,747.777771873917,0.0508897519816237,1.5041583603505273,0.0012807242779882269
1211,0.011971919305335805,1.462087333981432,-5100.478849541045,6599.720874298834,734.5074604989337,0.04857094691455719,1.511249315742478,0.0014947358444043497
1252,0.010722504361358395,1.4694852768014959,-5100.284162556027,6599.77448370471,748.8238548646359,0.051214505041570414,1.510874443164798,0.001367357821717015
1273,0.011420755291475569,1.4770227812025545,-5100.268263755646,6599.7488898534475,742.6131802957872,0.05002211487743249,1.5199733966149507,0.0020216969014416326
1333,0.012051499488915767,1.4063344874784982,-5100.005478328666,6599.723728273899,732.1282158156516,0.04837916878962336,1.4682837137007991,0.0008453622222810423
1354,0.011429971437822196,1.3793556330024728,-5099.901837085354,6599.748981884664,735.8341198344074,0.04930463956148949,1.3999874908186178,0.00028435134211775385
1375,0.011236595438521008,1.4288217344240044,-5100.367823980802,6599.751918378357,742.399840750713,0.04997990590555944,1.511495537108786,0.0016435222646763712
1424,0.011593943257290618,1.3871203712287887,-5100.448489452736,6599.737762223668,733.3765398458612,0.048574670102553244,1.4238024868713282,0.0011849355150515754
1447,0.010885477142988417,1.4847965235298781,-5100.094882313751,6599.764536939753,736.9246852132204,0.049415181946201134,1.4971502545858697,0.0017981595149043582
1454,0.01199127771692858,1.4594739577364673,-5100.375196767842,6599.721006963121,733.9966270816693,0.048529938498739454,1.5274235621037155,0.002517305220995715
1467,0.010995150898685106,1.4202638074247742,-5099.765215164044,6599.764916777399,740.7073714715729,0.05006931976256746,1.4342946492707664,0.0009389485558413883
1491,0.011887032819801878,1.4128379315478603,-5099.757143283071,6599.72736866055,732.5970846331221,0.04863626009885628,1.4323382371503284,0.0006619616653617366
1513,0.01178593749297759,1.4202190587936954,-5100.491573891716,6599.729172174313,737.1609875044231,0.04967947216848089,1.4423597528289138,0.000988120733824548
1583,0.011387215526039966,1.3812252345003535,-5099.838730693075,6599.748308455695,737.0807714279943,0.049662990718291125,1.3973820922821487,0.0003091475903878013
1608,0.011478039131158557,1.3711226048120142,-5099.951052547988,6599.7453239963825,737.8366093070358,0.04971774888748414,1.416629883847919,0.0006936389034765281
1630,0.011304440763739548,1.483176257365084,-5099.874611775584,6599.746730238094,742.2872525108743,0.0498610454896368,1.5695555212180776,0.0023207787605013484
1650,0.011999149686917673,1.468053444030562,-5100.465894477639,6599.719178545835,734.000665070787,0.04900318258164068,1.4873154541662041,0.001362087137936226
1661,0.011550735311634985,1.4568924361143047,-5099.936907389948,6599.7459860183735,741.3205581110844,0.04959428838114879,1.5224052273947455,0.001869143903128212
1676,0.011434404066768237,1.4828337634638378,-5099.967434129879,6574.4094074708555,741.9086979256044,0.049886549716278164,1.5189413518603485,0.0022833838955707594
1723,0.010942861726583595,1.4398504177572953,-5100.131527417056,6599.76731509203,745.4249135864671,0.05120091293679619,1.467940280070219,0.001011734895255567
1758,0.012135297764976785,1.4489159305313153,-5099.6485354943225,6599.71045173523,734.1525345273358,0.0489343279683274,1.5059087470707866,0.0018896676711255178
1822,0.011853944109398261,1.4554801260911767,-5100.455467273334,6599.726595812633,732.9882870566016,0.048595945900656974,1.4861929881910048,0.0017089660801413718
1823,0.01150117346778781,1.5224142014223943,-5099.883586937011,6599.393623660884,751.8027347935833,0.05118840695477182,1.5310609024160944,0.0021259869459089534
1927,0.012163186251601862,1.4685824254773596,-5099.500207017521,6599.717159076823,733.439179105073,0.048819609171440355,1.515042751263855,0.001936938316246873
2036,0.011236973727184463,1.3706893138677776,-5099.710839564102,6599.749348702342,736.5530571637935,0.04968661367962218,1.3757078459633123,0.0005930440840784341
